SKU,Product_Name,Category,Sub_Category,Weight_kg,Volume_cbm,Base_Demand_Min,Base_Demand_Max,Avg_Daily_Demand,ROP,Target_Level
SKU0260,Orion Canvas Sneakers,Shoes,Canvas Sneakers,0.84,0.0127,3,10,5.2,54,90
SKU0261,Riya Silk Anarkali,Dress,Silk Anarkali,0.44,0.0038,5,15,8.0,82,138
SKU0262,Zoya Cotton Kurta,Dress,Cotton Kurta,1.09,0.0057,5,15,8.0,82,138
SKU0263,Celeste Canvas Belt,Accessories,Canvas Belt,0.25,0.0168,8,25,13.200000000000001,136,228
SKU0264,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.14,0.0079,8,25,13.200000000000001,136,228
SKU0265,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.65,0.0153,8,25,13.200000000000001,136,228
SKU0266,Orion Canvas Sneakers,Shoes,Canvas Sneakers,0.81,0.0131,3,10,5.2,54,90
SKU0267,Nova Canvas Sneakers,Shoes,Canvas Sneakers,1.18,0.0107,3,10,5.2,54,90
SKU0268,Nova Block Heels,Shoes,Block Heels,1.28,0.01,3,10,5.2,54,90
SKU0269,Orion Canvas Sneakers,Shoes,Canvas Sneakers,1.3,0.0064,3,10,5.2,54,90
SKU0270,Apex Leather Loafers,Shoes,Leather Loafers,1.37,0.0105,3,10,5.2,54,90
SKU0271,Zoya Cotton Kurta,Dress,Cotton Kurta,0.38,0.003,5,15,8.0,82,138
SKU0272,Apex Canvas Sneakers,Shoes,Canvas Sneakers,0.59,0.0141,3,10,5.2,54,90
SKU0273,Vector Ethnic Juttis,Shoes,Ethnic Juttis,0.91,0.009,3,10,5.2,54,90
SKU0274,Apex Canvas Sneakers,Shoes,Canvas Sneakers,1.49,0.0087,3,10,5.2,54,90
SKU0275,Aanya Linen Shirt Dress,Dress,Linen Shirt Dress,1.06,0.0059,5,15,8.0,82,138
SKU0276,Aanya Silk Anarkali,Dress,Silk Anarkali,0.56,0.007,5,15,8.0,82,138
SKU0277,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.5,0.0011,8,25,13.200000000000001,136,228
SKU0278,Zoya Cotton Kurta,Dress,Cotton Kurta,0.49,0.0029,5,15,8.0,82,138
SKU0279,Aura Canvas Belt,Accessories,Canvas Belt,0.8,0.0055,8,25,13.200000000000001,136,228
SKU0280,Riya Cotton Kurta,Dress,Cotton Kurta,0.68,0.0068,5,15,8.0,82,138
SKU0281,Vector Leather Loafers,Shoes,Leather Loafers,1.34,0.01,3,10,5.2,54,90
SKU0282,Celeste Leather Handbag,Accessories,Leather Handbag,0.75,0.0065,8,25,13.200000000000001,136,228
SKU0283,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.81,0.0031,5,15,8.0,82,138
SKU0284,Eon Leather Handbag,Accessories,Leather Handbag,0.16,0.011,8,25,13.200000000000001,136,228
SKU0285,Luna Leather Handbag,Accessories,Leather Handbag,0.89,0.0018,8,25,13.200000000000001,136,228
SKU0286,Nova Ethnic Juttis,Shoes,Ethnic Juttis,1.25,0.0086,3,10,5.2,54,90
SKU0287,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.96,0.0058,5,15,8.0,82,138
SKU0288,Celeste Analog Watch,Accessories,Analog Watch,0.14,0.0114,8,25,13.200000000000001,136,228
SKU0289,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.98,0.0101,8,25,13.200000000000001,136,228
SKU0290,Aanya Silk Anarkali,Dress,Silk Anarkali,0.94,0.0077,5,15,8.0,82,138
SKU0291,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.34,0.0032,5,15,8.0,82,138
SKU0292,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.76,0.0079,5,15,8.0,82,138
SKU0293,Eon Canvas Belt,Accessories,Canvas Belt,0.13,0.0133,8,25,13.200000000000001,136,228
SKU0294,Vector Ethnic Juttis,Shoes,Ethnic Juttis,1.37,0.0083,3,10,5.2,54,90
SKU0295,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,1.1,0.0065,5,15,8.0,82,138
SKU0296,Orion Ethnic Juttis,Shoes,Ethnic Juttis,1.0,0.01,3,10,5.2,54,90
SKU0297,Aura Analog Watch,Accessories,Analog Watch,0.75,0.0025,8,25,13.200000000000001,136,228
SKU0298,Eon Silver Jhumkas,Accessories,Silver Jhumkas,0.39,0.0025,8,25,13.200000000000001,136,228
SKU0299,Eon Analog Watch,Accessories,Analog Watch,0.5,0.0146,8,25,13.200000000000001,136,228
SKU0300,Zoya Georgette Saree,Dress,Georgette Saree,0.7,0.0064,5,15,8.0,82,138
SKU0301,Nova Block Heels,Shoes,Block Heels,1.14,0.0129,3,10,5.2,54,90
SKU0302,Elara Cotton Kurta,Dress,Cotton Kurta,0.63,0.0068,5,15,8.0,82,138
SKU0303,Aura Silver Jhumkas,Accessories,Silver Jhumkas,0.23,0.0125,8,25,13.200000000000001,136,228
SKU0304,Orion Leather Loafers,Shoes,Leather Loafers,0.57,0.0128,3,10,5.2,54,90
SKU0305,Apex Ethnic Juttis,Shoes,Ethnic Juttis,1.45,0.0053,3,10,5.2,54,90
SKU0306,Zoya Georgette Saree,Dress,Georgette Saree,0.63,0.0066,5,15,8.0,82,138
SKU0307,Eon Silver Jhumkas,Accessories,Silver Jhumkas,0.46,0.0133,8,25,13.200000000000001,136,228
SKU0308,Aanya Cotton Kurta,Dress,Cotton Kurta,0.96,0.005,5,15,8.0,82,138
SKU0309,Nova Leather Loafers,Shoes,Leather Loafers,1.27,0.012,3,10,5.2,54,90
SKU0310,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.48,0.0028,5,15,8.0,82,138
SKU0311,Riya Georgette Saree,Dress,Georgette Saree,1.11,0.0047,5,15,8.0,82,138
SKU0312,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.94,0.0053,5,15,8.0,82,138
SKU0313,Orion Ethnic Juttis,Shoes,Ethnic Juttis,1.21,0.0143,3,10,5.2,54,90
SKU0314,Eon Silver Jhumkas,Accessories,Silver Jhumkas,0.56,0.0033,8,25,13.200000000000001,136,228
SKU0315,Riya Silk Anarkali,Dress,Silk Anarkali,1.01,0.0022,5,15,8.0,82,138
SKU0316,Luna Analog Watch,Accessories,Analog Watch,0.82,0.0115,8,25,13.200000000000001,136,228
SKU0317,Aura Leather Handbag,Accessories,Leather Handbag,0.38,0.02,8,25,13.200000000000001,136,228
SKU0318,Luna Canvas Belt,Accessories,Canvas Belt,0.79,0.0166,8,25,13.200000000000001,136,228
SKU0319,Zoya Silk Anarkali,Dress,Silk Anarkali,0.88,0.0047,5,15,8.0,82,138
SKU0320,Celeste Analog Watch,Accessories,Analog Watch,0.89,0.0158,8,25,13.200000000000001,136,228
SKU0321,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.49,0.0183,8,25,13.200000000000001,136,228
SKU0322,Riya Cotton Kurta,Dress,Cotton Kurta,0.57,0.003,5,15,8.0,82,138
SKU0323,Eon Silver Jhumkas,Accessories,Silver Jhumkas,0.95,0.0109,8,25,13.200000000000001,136,228
SKU0324,Nova Leather Loafers,Shoes,Leather Loafers,0.7,0.0146,3,10,5.2,54,90
SKU0325,Nova Canvas Sneakers,Shoes,Canvas Sneakers,1.11,0.0059,3,10,5.2,54,90
SKU0326,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.25,0.0129,8,25,13.200000000000001,136,228
SKU0327,Aura Analog Watch,Accessories,Analog Watch,0.84,0.0015,8,25,13.200000000000001,136,228
SKU0328,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.99,0.0045,5,15,8.0,82,138
SKU0329,Luna Leather Handbag,Accessories,Leather Handbag,0.9,0.0114,8,25,13.200000000000001,136,228
SKU0330,Luna Analog Watch,Accessories,Analog Watch,0.32,0.0163,8,25,13.200000000000001,136,228
SKU0331,Apex Ethnic Juttis,Shoes,Ethnic Juttis,0.57,0.0056,3,10,5.2,54,90
SKU0332,Apex Block Heels,Shoes,Block Heels,0.96,0.0084,3,10,5.2,54,90
SKU0333,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.96,0.0072,5,15,8.0,82,138
SKU0334,Nova Canvas Sneakers,Shoes,Canvas Sneakers,1.01,0.0061,3,10,5.2,54,90
SKU0335,Aanya Georgette Saree,Dress,Georgette Saree,0.54,0.0035,5,15,8.0,82,138
SKU0336,Zoya Cotton Kurta,Dress,Cotton Kurta,1.15,0.0072,5,15,8.0,82,138
SKU0337,Orion Canvas Sneakers,Shoes,Canvas Sneakers,1.31,0.0143,3,10,5.2,54,90
SKU0338,Celeste Analog Watch,Accessories,Analog Watch,0.79,0.0105,8,25,13.200000000000001,136,228
SKU0339,Luna Canvas Belt,Accessories,Canvas Belt,0.89,0.0105,8,25,13.200000000000001,136,228
SKU0340,Elara Georgette Saree,Dress,Georgette Saree,1.17,0.0033,5,15,8.0,82,138
SKU0341,Vector Leather Loafers,Shoes,Leather Loafers,0.78,0.011,3,10,5.2,54,90
SKU0342,Eon Canvas Belt,Accessories,Canvas Belt,0.58,0.0171,8,25,13.200000000000001,136,228
SKU0343,Nova Canvas Sneakers,Shoes,Canvas Sneakers,1.23,0.0126,3,10,5.2,54,90
SKU0344,Apex Leather Loafers,Shoes,Leather Loafers,0.55,0.0106,3,10,5.2,54,90
SKU0345,Vector Ethnic Juttis,Shoes,Ethnic Juttis,0.89,0.0095,3,10,5.2,54,90
SKU0346,Aura Analog Watch,Accessories,Analog Watch,0.22,0.0028,8,25,13.200000000000001,136,228
SKU0347,Nova Ethnic Juttis,Shoes,Ethnic Juttis,1.25,0.007,3,10,5.2,54,90
SKU0348,Aura Canvas Belt,Accessories,Canvas Belt,0.14,0.0036,8,25,13.200000000000001,136,228
SKU0349,Apex Block Heels,Shoes,Block Heels,0.65,0.0139,3,10,5.2,54,90
SKU0350,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.45,0.0079,5,15,8.0,82,138
SKU0351,Eon Analog Watch,Accessories,Analog Watch,0.56,0.0107,8,25,13.200000000000001,136,228
SKU0352,Apex Ethnic Juttis,Shoes,Ethnic Juttis,1.32,0.0087,3,10,5.2,54,90
SKU0353,Luna Leather Handbag,Accessories,Leather Handbag,0.63,0.0161,8,25,13.200000000000001,136,228
SKU0354,Luna Leather Handbag,Accessories,Leather Handbag,0.34,0.0135,8,25,13.200000000000001,136,228
SKU0355,Aura Silver Jhumkas,Accessories,Silver Jhumkas,0.63,0.0042,8,25,13.200000000000001,136,228
SKU0356,Celeste Canvas Belt,Accessories,Canvas Belt,0.84,0.0056,8,25,13.200000000000001,136,228
SKU0357,Celeste Leather Handbag,Accessories,Leather Handbag,0.12,0.007,8,25,13.200000000000001,136,228
SKU0358,Riya Georgette Saree,Dress,Georgette Saree,0.67,0.0066,5,15,8.0,82,138
SKU0359,Orion Leather Loafers,Shoes,Leather Loafers,1.02,0.0106,3,10,5.2,54,90
SKU0360,Luna Canvas Belt,Accessories,Canvas Belt,0.38,0.0043,8,25,13.200000000000001,136,228
SKU0361,Eon Analog Watch,Accessories,Analog Watch,0.71,0.0175,8,25,13.200000000000001,136,228
SKU0362,Luna Analog Watch,Accessories,Analog Watch,0.27,0.0057,8,25,13.200000000000001,136,228
SKU0363,Celeste Analog Watch,Accessories,Analog Watch,0.95,0.0197,8,25,13.200000000000001,136,228
SKU0364,Apex Canvas Sneakers,Shoes,Canvas Sneakers,0.82,0.0085,3,10,5.2,54,90
SKU0365,Eon Analog Watch,Accessories,Analog Watch,0.21,0.0139,8,25,13.200000000000001,136,228
SKU0366,Nova Block Heels,Shoes,Block Heels,1.45,0.013,3,10,5.2,54,90
SKU0367,Nova Leather Loafers,Shoes,Leather Loafers,1.46,0.0058,3,10,5.2,54,90
SKU0368,Apex Ethnic Juttis,Shoes,Ethnic Juttis,0.71,0.0133,3,10,5.2,54,90
SKU0369,Orion Ethnic Juttis,Shoes,Ethnic Juttis,0.61,0.0124,3,10,5.2,54,90
SKU0370,Aanya Silk Anarkali,Dress,Silk Anarkali,0.9,0.0052,5,15,8.0,82,138
SKU0371,Aura Silver Jhumkas,Accessories,Silver Jhumkas,0.19,0.0073,8,25,13.200000000000001,136,228
SKU0372,Orion Leather Loafers,Shoes,Leather Loafers,0.51,0.0105,3,10,5.2,54,90
SKU0373,Elara Georgette Saree,Dress,Georgette Saree,0.73,0.0032,5,15,8.0,82,138
SKU0374,Nova Ethnic Juttis,Shoes,Ethnic Juttis,1.15,0.0141,3,10,5.2,54,90
SKU0375,Aanya Silk Anarkali,Dress,Silk Anarkali,1.12,0.0031,5,15,8.0,82,138
SKU0376,Elara Cotton Kurta,Dress,Cotton Kurta,1.01,0.0031,5,15,8.0,82,138
SKU0377,Aura Analog Watch,Accessories,Analog Watch,0.11,0.0118,8,25,13.200000000000001,136,228
SKU0378,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.71,0.0058,5,15,8.0,82,138
SKU0379,Celeste Canvas Belt,Accessories,Canvas Belt,0.87,0.0099,8,25,13.200000000000001,136,228
SKU0380,Zoya Cotton Kurta,Dress,Cotton Kurta,0.45,0.0048,5,15,8.0,82,138
SKU0381,Vector Canvas Sneakers,Shoes,Canvas Sneakers,1.24,0.0129,3,10,5.2,54,90
SKU0382,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.65,0.0131,8,25,13.200000000000001,136,228
SKU0383,Nova Block Heels,Shoes,Block Heels,0.59,0.0117,3,10,5.2,54,90
SKU0384,Elara Silk Anarkali,Dress,Silk Anarkali,0.59,0.0035,5,15,8.0,82,138
SKU0385,Orion Block Heels,Shoes,Block Heels,0.95,0.0077,3,10,5.2,54,90
SKU0386,Vector Ethnic Juttis,Shoes,Ethnic Juttis,0.76,0.0086,3,10,5.2,54,90
SKU0387,Aanya Cotton Kurta,Dress,Cotton Kurta,0.72,0.003,5,15,8.0,82,138
SKU0388,Aura Analog Watch,Accessories,Analog Watch,0.67,0.0189,8,25,13.200000000000001,136,228
SKU0389,Orion Canvas Sneakers,Shoes,Canvas Sneakers,1.46,0.0098,3,10,5.2,54,90
SKU0390,Apex Ethnic Juttis,Shoes,Ethnic Juttis,1.2,0.0141,3,10,5.2,54,90
SKU0391,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.71,0.0123,8,25,13.200000000000001,136,228
SKU0392,Zoya Georgette Saree,Dress,Georgette Saree,0.37,0.0054,5,15,8.0,82,138
SKU0393,Riya Silk Anarkali,Dress,Silk Anarkali,0.45,0.0071,5,15,8.0,82,138
SKU0394,Orion Leather Loafers,Shoes,Leather Loafers,1.22,0.0099,3,10,5.2,54,90
SKU0395,Aura Canvas Belt,Accessories,Canvas Belt,0.51,0.0108,8,25,13.200000000000001,136,228
SKU0396,Apex Leather Loafers,Shoes,Leather Loafers,1.17,0.0081,3,10,5.2,54,90
SKU0397,Zoya Georgette Saree,Dress,Georgette Saree,1.03,0.0065,5,15,8.0,82,138
SKU0398,Aura Leather Handbag,Accessories,Leather Handbag,0.48,0.0143,8,25,13.200000000000001,136,228
SKU0399,Aura Leather Handbag,Accessories,Leather Handbag,0.99,0.01,8,25,13.200000000000001,136,228
SKU0400,Orion Block Heels,Shoes,Block Heels,1.27,0.0127,3,10,5.2,54,90
SKU0401,Eon Canvas Belt,Accessories,Canvas Belt,0.99,0.0083,8,25,13.200000000000001,136,228
SKU0402,Vector Block Heels,Shoes,Block Heels,1.18,0.0116,3,10,5.2,54,90
SKU0403,Eon Silver Jhumkas,Accessories,Silver Jhumkas,0.21,0.0199,8,25,13.200000000000001,136,228
SKU0404,Orion Canvas Sneakers,Shoes,Canvas Sneakers,1.33,0.0126,3,10,5.2,54,90
SKU0405,Apex Block Heels,Shoes,Block Heels,1.03,0.0132,3,10,5.2,54,90
SKU0406,Zoya Georgette Saree,Dress,Georgette Saree,0.44,0.0031,5,15,8.0,82,138
SKU0407,Aura Leather Handbag,Accessories,Leather Handbag,0.83,0.009,8,25,13.200000000000001,136,228
SKU0408,Riya Silk Anarkali,Dress,Silk Anarkali,0.36,0.0056,5,15,8.0,82,138
SKU0409,Orion Leather Loafers,Shoes,Leather Loafers,1.24,0.009,3,10,5.2,54,90
SKU0410,Aanya Silk Anarkali,Dress,Silk Anarkali,0.43,0.008,5,15,8.0,82,138
SKU0411,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.51,0.0073,5,15,8.0,82,138
SKU0412,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.37,0.0022,8,25,13.200000000000001,136,228
SKU0413,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.6,0.0019,8,25,13.200000000000001,136,228
SKU0414,Nova Block Heels,Shoes,Block Heels,1.2,0.0091,3,10,5.2,54,90
SKU0415,Orion Block Heels,Shoes,Block Heels,1.25,0.0097,3,10,5.2,54,90
SKU0416,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,1.03,0.0075,5,15,8.0,82,138
SKU0417,Luna Canvas Belt,Accessories,Canvas Belt,0.6,0.0035,8,25,13.200000000000001,136,228
SKU0418,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.6,0.0025,5,15,8.0,82,138
SKU0419,Vector Ethnic Juttis,Shoes,Ethnic Juttis,1.04,0.0133,3,10,5.2,54,90
SKU0420,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.91,0.0056,5,15,8.0,82,138
SKU0421,Riya Silk Anarkali,Dress,Silk Anarkali,0.73,0.0072,5,15,8.0,82,138
SKU0422,Vector Ethnic Juttis,Shoes,Ethnic Juttis,0.71,0.0069,3,10,5.2,54,90
SKU0423,Luna Leather Handbag,Accessories,Leather Handbag,0.92,0.0142,8,25,13.200000000000001,136,228
SKU0424,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.92,0.0115,8,25,13.200000000000001,136,228
SKU0425,Apex Block Heels,Shoes,Block Heels,1.03,0.0086,3,10,5.2,54,90
SKU0426,Apex Ethnic Juttis,Shoes,Ethnic Juttis,0.97,0.013,3,10,5.2,54,90
SKU0427,Eon Canvas Belt,Accessories,Canvas Belt,0.92,0.008,8,25,13.200000000000001,136,228
SKU0428,Orion Leather Loafers,Shoes,Leather Loafers,1.24,0.0052,3,10,5.2,54,90
SKU0429,Eon Canvas Belt,Accessories,Canvas Belt,0.24,0.0073,8,25,13.200000000000001,136,228
SKU0430,Apex Canvas Sneakers,Shoes,Canvas Sneakers,1.05,0.0144,3,10,5.2,54,90
SKU0431,Apex Ethnic Juttis,Shoes,Ethnic Juttis,1.47,0.0114,3,10,5.2,54,90
SKU0432,Orion Block Heels,Shoes,Block Heels,1.23,0.0085,3,10,5.2,54,90
SKU0433,Riya Georgette Saree,Dress,Georgette Saree,1.13,0.0053,5,15,8.0,82,138
SKU0434,Aura Leather Handbag,Accessories,Leather Handbag,0.86,0.0024,8,25,13.200000000000001,136,228
SKU0435,Aura Leather Handbag,Accessories,Leather Handbag,0.47,0.017,8,25,13.200000000000001,136,228
SKU0436,Riya Cotton Kurta,Dress,Cotton Kurta,0.31,0.005,5,15,8.0,82,138
SKU0437,Apex Leather Loafers,Shoes,Leather Loafers,1.16,0.0052,3,10,5.2,54,90
SKU0438,Aura Canvas Belt,Accessories,Canvas Belt,0.12,0.0147,8,25,13.200000000000001,136,228
SKU0439,Aura Analog Watch,Accessories,Analog Watch,0.55,0.0143,8,25,13.200000000000001,136,228
SKU0440,Vector Canvas Sneakers,Shoes,Canvas Sneakers,1.42,0.0102,3,10,5.2,54,90
SKU0441,Zoya Silk Anarkali,Dress,Silk Anarkali,1.03,0.0036,5,15,8.0,82,138
SKU0442,Nova Leather Loafers,Shoes,Leather Loafers,1.46,0.0096,3,10,5.2,54,90
SKU0443,Zoya Silk Anarkali,Dress,Silk Anarkali,0.92,0.0071,5,15,8.0,82,138
SKU0444,Aura Leather Handbag,Accessories,Leather Handbag,0.46,0.0082,8,25,13.200000000000001,136,228
SKU0445,Vector Leather Loafers,Shoes,Leather Loafers,1.2,0.0058,3,10,5.2,54,90
SKU0446,Vector Ethnic Juttis,Shoes,Ethnic Juttis,1.39,0.0142,3,10,5.2,54,90
SKU0447,Elara Silk Anarkali,Dress,Silk Anarkali,0.54,0.0075,5,15,8.0,82,138
SKU0448,Aura Analog Watch,Accessories,Analog Watch,0.26,0.0172,8,25,13.200000000000001,136,228
SKU0449,Riya Silk Anarkali,Dress,Silk Anarkali,0.98,0.0063,5,15,8.0,82,138
SKU0450,Nova Leather Loafers,Shoes,Leather Loafers,0.66,0.0074,3,10,5.2,54,90
SKU0451,Apex Ethnic Juttis,Shoes,Ethnic Juttis,1.26,0.0064,3,10,5.2,54,90
SKU0452,Eon Leather Handbag,Accessories,Leather Handbag,0.15,0.0093,8,25,13.200000000000001,136,228
SKU0453,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,1.17,0.004,5,15,8.0,82,138
SKU0454,Luna Analog Watch,Accessories,Analog Watch,0.54,0.0078,8,25,13.200000000000001,136,228
SKU0455,Orion Block Heels,Shoes,Block Heels,1.18,0.0116,3,10,5.2,54,90
SKU0456,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.94,0.0025,5,15,8.0,82,138
SKU0457,Riya Georgette Saree,Dress,Georgette Saree,0.97,0.0039,5,15,8.0,82,138
SKU0458,Aanya Cotton Kurta,Dress,Cotton Kurta,1.15,0.0047,5,15,8.0,82,138
SKU0459,Orion Leather Loafers,Shoes,Leather Loafers,0.59,0.0093,3,10,5.2,54,90
SKU0460,Aura Canvas Belt,Accessories,Canvas Belt,0.12,0.0077,8,25,13.200000000000001,136,228
SKU0461,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.31,0.0045,5,15,8.0,82,138
SKU0462,Riya Silk Anarkali,Dress,Silk Anarkali,0.92,0.003,5,15,8.0,82,138
SKU0463,Nova Ethnic Juttis,Shoes,Ethnic Juttis,0.99,0.0056,3,10,5.2,54,90
SKU0464,Apex Ethnic Juttis,Shoes,Ethnic Juttis,0.8,0.0128,3,10,5.2,54,90
SKU0465,Orion Ethnic Juttis,Shoes,Ethnic Juttis,1.22,0.01,3,10,5.2,54,90
SKU0466,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.2,0.0068,8,25,13.200000000000001,136,228
SKU0467,Apex Ethnic Juttis,Shoes,Ethnic Juttis,1.3,0.0083,3,10,5.2,54,90
SKU0468,Orion Block Heels,Shoes,Block Heels,0.8,0.011,3,10,5.2,54,90
SKU0469,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.38,0.0193,8,25,13.200000000000001,136,228
SKU0470,Apex Ethnic Juttis,Shoes,Ethnic Juttis,1.47,0.0128,3,10,5.2,54,90
SKU0471,Nova Block Heels,Shoes,Block Heels,1.32,0.0089,3,10,5.2,54,90
SKU0472,Riya Silk Anarkali,Dress,Silk Anarkali,0.91,0.0053,5,15,8.0,82,138
SKU0473,Celeste Canvas Belt,Accessories,Canvas Belt,0.49,0.0065,8,25,13.200000000000001,136,228
SKU0474,Luna Leather Handbag,Accessories,Leather Handbag,0.71,0.0036,8,25,13.200000000000001,136,228
SKU0475,Nova Canvas Sneakers,Shoes,Canvas Sneakers,1.16,0.0122,3,10,5.2,54,90
SKU0476,Apex Leather Loafers,Shoes,Leather Loafers,1.49,0.0098,3,10,5.2,54,90
SKU0477,Vector Block Heels,Shoes,Block Heels,1.29,0.0086,3,10,5.2,54,90
SKU0478,Aura Leather Handbag,Accessories,Leather Handbag,0.79,0.0135,8,25,13.200000000000001,136,228
SKU0479,Vector Canvas Sneakers,Shoes,Canvas Sneakers,1.06,0.0115,3,10,5.2,54,90
SKU0480,Eon Canvas Belt,Accessories,Canvas Belt,0.97,0.0092,8,25,13.200000000000001,136,228
SKU0481,Zoya Cotton Kurta,Dress,Cotton Kurta,0.5,0.0065,5,15,8.0,82,138
SKU0482,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.44,0.0098,8,25,13.200000000000001,136,228
SKU0483,Eon Silver Jhumkas,Accessories,Silver Jhumkas,1.0,0.0102,8,25,13.200000000000001,136,228
SKU0484,Vector Block Heels,Shoes,Block Heels,0.62,0.0144,3,10,5.2,54,90
SKU0485,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.61,0.0067,5,15,8.0,82,138
SKU0486,Eon Canvas Belt,Accessories,Canvas Belt,0.53,0.0093,8,25,13.200000000000001,136,228
SKU0487,Eon Canvas Belt,Accessories,Canvas Belt,0.16,0.0018,8,25,13.200000000000001,136,228
SKU0488,Aura Leather Handbag,Accessories,Leather Handbag,0.86,0.0133,8,25,13.200000000000001,136,228
SKU0489,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.56,0.0115,8,25,13.200000000000001,136,228
SKU0490,Apex Block Heels,Shoes,Block Heels,0.73,0.0091,3,10,5.2,54,90
SKU0491,Elara Silk Anarkali,Dress,Silk Anarkali,0.66,0.0064,5,15,8.0,82,138
SKU0492,Elara Georgette Saree,Dress,Georgette Saree,0.65,0.0062,5,15,8.0,82,138
SKU0493,Aanya Linen Shirt Dress,Dress,Linen Shirt Dress,0.82,0.0068,5,15,8.0,82,138
SKU0494,Eon Silver Jhumkas,Accessories,Silver Jhumkas,0.39,0.0097,8,25,13.200000000000001,136,228
SKU0495,Nova Block Heels,Shoes,Block Heels,1.1,0.0111,3,10,5.2,54,90
SKU0496,Eon Leather Handbag,Accessories,Leather Handbag,0.42,0.0097,8,25,13.200000000000001,136,228
SKU0497,Aanya Linen Shirt Dress,Dress,Linen Shirt Dress,0.9,0.0039,5,15,8.0,82,138
SKU0498,Aanya Linen Shirt Dress,Dress,Linen Shirt Dress,0.46,0.0062,5,15,8.0,82,138
SKU0499,Luna Canvas Belt,Accessories,Canvas Belt,0.64,0.0119,8,25,13.200000000000001,136,228
SKU0500,Apex Canvas Sneakers,Shoes,Canvas Sneakers,1.14,0.0119,3,10,5.2,54,90
